Day;L;M;S;P01;P1;P3;P5;P10;P15;P25;P50;P75;P85;P90;P95;P97;P99;P999;Tipo;Genero
1;0.3259;31.957;0.14578;1.963;2.231;2.398;2.49;2.635;2.737;2.892;3.196;3.52;3.704;3.831;4.026;4.155;4.408;4.865;P;F
2;0.3101;32.104;0.14637;1.972;2.24;2.408;2.5;2.646;2.748;2.904;3.21;3.538;3.723;3.853;4.049;4.181;4.438;4.902;P;F
3;0.2986;32.315;0.14657;1.986;2.255;2.424;2.516;2.663;2.766;2.923;3.232;3.562;3.749;3.879;4.079;4.212;4.471;4.942;P;F
4;0.2891;32.558;0.14658;2.004;2.274;2.443;2.536;2.684;2.787;2.945;3.256;3.589;3.778;3.909;4.11;4.245;4.507;4.983;P;F
5;0.281;32.821;0.14646;2.023;2.294;2.464;2.558;2.707;2.81;2.969;3.282;3.618;3.808;3.941;4.144;4.279;4.544;5.026;P;F
6;0.2737;33.099;0.14626;2.043;2.316;2.487;2.581;2.731;2.835;2.995;3.31;3.648;3.84;3.974;4.178;4.315;4.583;5.069;P;F
7;0.2671;33.388;0.146;2.064;2.339;2.51;2.605;2.756;2.861;3.022;3.339;3.68;3.873;4.008;4.214;4.352;4.622;5.112;P;F
8;0.2609;33.687;0.14569;2.087;2.362;2.535;2.63;2.782;2.888;3.05;3.369;3.712;3.906;4.042;4.25;4.389;4.661;5.156;P;F
9;0.2551;33.995;0.14534;2.11;2.387;2.561;2.656;2.809;2.915;3.078;3.4;3.745;3.941;4.078;4.287;4.428;4.702;5.201;P;F
10;0.2497;34.314;0.14498;2.134;2.412;2.587;2.683;2.837;2.944;3.108;3.431;3.779;3.977;4.115;4.326;4.467;4.744;5.247;P;F
11;0.2446;34.643;0.14459;2.158;2.439;2.615;2.711;2.866;2.974;3.139;3.464;3.815;4.014;4.153;4.365;4.508;4.786;5.294;P;F
12;0.2397;34.983;0.1442;2.184;2.466;2.643;2.74;2.896;3.004;3.17;3.498;3.851;4.052;4.192;4.406;4.55;4.83;5.342;P;F
13;0.2349;35.333;0.1438;2.21;2.494;2.672;2.77;2.927;3.036;3.203;3.533;3.889;4.091;4.232;4.448;4.593;4.876;5.392;P;F
14;0.2304;35.693;0.14339;2.237;2.523;2.702;2.801;2.958;3.068;3.237;3.569;3.928;4.131;4.273;4.491;4.637;4.922;5.443;P;F
15;0.226;36.063;0.14299;2.264;2.552;2.733;2.832;2.991;3.102;3.271;3.606;3.967;4.172;4.316;4.535;4.682;4.97;5.495;P;F
16;0.2218;36.438;0.14258;2.292;2.582;2.764;2.864;3.024;3.135;3.306;3.644;4.008;4.214;4.359;4.58;4.728;5.018;5.548;P;F
17;0.2177;36.818;0.14218;2.32;2.612;2.795;2.896;3.057;3.17;3.342;3.682;4.048;4.257;4.402;4.625;4.775;5.067;5.601;P;F
18;0.2137;37.201;0.14177;2.348;2.643;2.827;2.929;3.091;3.204;3.378;3.72;4.089;4.299;4.446;4.671;4.821;5.116;5.655;P;F
19;0.2099;37.584;0.14138;2.377;2.673;2.859;2.961;3.124;3.239;3.413;3.758;4.131;4.342;4.49;4.716;4.868;5.166;5.709;P;F
20;0.2061;37.968;0.14098;2.405;2.704;2.891;2.994;3.158;3.273;3.449;3.797;4.172;4.385;4.534;4.762;4.915;5.215;5.762;P;F
21;0.2024;38.352;0.1406;2.434;2.734;2.923;3.026;3.192;3.308;3.485;3.835;4.213;4.428;4.578;4.808;4.962;5.264;5.816;P;F
22;0.1989;38.735;0.14021;2.462;2.765;2.954;3.059;3.226;3.342;3.521;3.874;4.254;4.47;4.621;4.853;5.009;5.313;5.87;P;F
23;0.1954;39.116;0.13984;2.49;2.795;2.986;3.091;3.259;3.377;3.556;3.912;4.295;4.513;4.665;4.899;5.055;5.362;5.923;P;F
24;0.1919;39.495;0.13947;2.519;2.825;3.018;3.124;3.293;3.411;3.592;3.95;4.335;4.555;4.708;4.944;5.101;5.411;5.976;P;F
25;0.1886;39.872;0.1391;2.547;2.855;3.049;3.156;3.326;3.445;3.627;3.987;4.376;4.597;4.751;4.988;5.147;5.459;6.028;P;F
26;0.1853;40.247;0.13875;2.575;2.885;3.08;3.188;3.359;3.479;3.662;4.025;4.416;4.638;4.794;5.033;5.193;5.507;6.08;P;F
27;0.1821;40.618;0.1384;2.602;2.915;3.111;3.219;3.392;3.512;3.697;4.062;4.456;4.68;4.836;5.077;5.238;5.554;6.132;P;F
28;0.1789;40.987;0.13805;2.63;2.944;3.142;3.251;3.424;3.546;3.731;4.099;4.495;4.721;4.879;5.12;5.283;5.601;6.183;P;F
29;0.1758;41.353;0.13771;2.657;2.974;3.172;3.282;3.457;3.579;3.766;4.135;4.534;4.761;4.92;5.164;5.327;5.648;6.234;P;F
30;0.1727;41.716;0.13738;2.684;3.003;3.203;3.313;3.489;3.612;3.8;4.172;4.573;4.802;4.962;5.207;5.371;5.694;6.284;P;F
31;0.1697;42.075;0.13706;2.711;3.032;3.233;3.343;3.52;3.644;3.833;4.208;4.612;4.842;5.003;5.249;5.415;5.74;6.334;P;F
32;0.1668;42.431;0.13674;2.738;3.06;3.262;3.374;3.552;3.676;3.866;4.243;4.65;4.881;5.043;5.291;5.458;5.785;6.383;P;F
33;0.1638;42.783;0.13643;2.764;3.088;3.292;3.404;3.583;3.708;3.899;4.278;4.687;4.92;5.083;5.333;5.501;5.83;6.432;P;F
34;0.161;43.131;0.13613;2.79;3.116;3.321;3.434;3.614;3.739;3.932;4.313;4.725;4.959;5.123;5.374;5.543;5.874;6.48;P;F
35;0.1582;43.476;0.13583;2.816;3.144;3.35;3.463;3.644;3.771;3.964;4.348;4.762;4.997;5.162;5.415;5.585;5.918;6.527;P;F
36;0.1554;43.818;0.13554;2.842;3.171;3.378;3.492;3.674;3.802;3.996;4.382;4.798;5.035;5.201;5.456;5.626;5.961;6.575;P;F
37;0.1526;44.155;0.13526;2.867;3.198;3.406;3.521;3.704;3.832;4.028;4.416;4.834;5.072;5.239;5.495;5.667;6.004;6.621;P;F
38;0.1499;4.449;0.13498;2.892;3.225;3.434;3.55;3.734;3.862;4.059;4.449;4.87;5.11;5.278;5.535;5.708;6.047;6.668;P;F
39;0.1473;4.482;0.1347;2.917;3.252;3.462;3.578;3.763;3.892;4.09;4.482;4.905;5.146;5.315;5.574;5.748;6.089;6.713;P;F
40;0.1446;45.148;0.13444;2.941;3.278;3.49;3.606;3.792;3.922;4.121;4.515;4.94;5.183;5.352;5.613;5.788;6.13;6.759;P;F
41;0.142;45.472;0.13418;2.966;3.304;3.517;3.634;3.821;3.951;4.151;4.547;4.975;5.219;5.389;5.651;5.827;6.171;6.803;P;F
42;0.1395;45.793;0.13392;2.99;3.33;3.544;3.661;3.849;3.98;4.181;4.579;5.009;5.254;5.426;5.689;5.866;6.212;6.848;P;F
43;0.1369;4.611;0.13367;3.014;3.356;3.57;3.688;3.877;4.009;4.211;4.611;5.043;5.289;5.462;5.726;5.904;6.252;6.891;P;F
44;0.1344;46.425;0.13342;3.038;3.381;3.597;3.715;3.905;4.038;4.241;4.643;5.077;5.324;5.498;5.763;5.942;6.292;6.935;P;F
45;0.132;46.736;0.13318;3.061;3.406;3.623;3.742;3.933;4.066;4.27;4.674;5.11;5.359;5.533;5.8;5.98;6.332;6.978;P;F
46;0.1295;47.044;0.13295;3.084;3.431;3.648;3.768;3.96;4.094;4.299;4.704;5.143;5.393;5.568;5.837;6.017;6.371;7.02;P;F
47;0.1271;47.349;0.13272;3.107;3.456;3.674;3.795;3.987;4.121;4.327;4.735;5.176;5.427;5.603;5.873;6.054;6.41;7.062;P;F
48;0.1247;47.651;0.1325;3.13;3.48;3.699;3.82;4.014;4.149;4.356;4.765;5.208;5.46;5.637;5.908;6.09;6.448;7.104;P;F
49;0.1224;4.795;0.13228;3.153;3.504;3.724;3.846;4.04;4.176;4.384;4.795;5.24;5.493;5.671;5.944;6.127;6.486;7.145;P;F
50;0.12;48.245;0.13206;3.175;3.528;3.749;3.871;4.066;4.203;4.411;4.825;5.271;5.526;5.704;5.978;6.162;6.523;7.186;P;F
51;0.1177;48.538;0.13185;3.197;3.551;3.774;3.896;4.092;4.229;4.439;4.854;5.303;5.559;5.738;6.013;6.198;6.561;7.226;P;F
52;0.1154;48.828;0.13165;3.219;3.575;3.798;3.921;4.118;4.255;4.466;4.883;5.334;5.591;5.771;6.047;6.233;6.598;7.267;P;F
53;0.1132;49.115;0.13145;3.241;3.598;3.822;3.946;4.143;4.281;4.493;4.912;5.364;5.623;5.803;6.081;6.268;6.634;7.306;P;F
54;0.1109;49.399;0.13125;3.262;3.621;3.846;3.97;4.168;4.307;4.519;4.94;5.395;5.654;5.836;6.115;6.302;6.67;7.345;P;F
55;0.1087;4.968;0.13106;3.283;3.644;3.87;3.994;4.193;4.333;4.546;4.968;5.425;5.685;5.868;6.148;6.336;6.706;7.384;P;F
56;0.1065;49.959;0.13087;3.304;3.666;3.893;4.018;4.218;4.358;4.572;4.996;5.455;5.716;5.899;6.181;6.37;6.741;7.423;P;F
57;0.1044;50.235;0.13068;3.325;3.688;3.916;4.042;4.243;4.383;4.598;5.024;5.484;5.747;5.931;6.213;6.403;6.776;7.461;P;F
58;0.1022;50.509;0.1305;3.346;3.711;3.939;4.065;4.267;4.408;4.623;5.051;5.513;5.777;5.962;6.246;6.436;6.811;7.499;P;F
59;0.1001;5.078;0.13033;3.366;3.732;3.962;4.089;4.291;4.432;4.649;5.078;5.542;5.807;5.993;6.278;6.469;6.846;7.537;P;F
60;0.098;51.049;0.13015;3.387;3.754;3.985;4.112;4.315;4.457;4.674;5.105;5.571;5.837;6.023;6.31;6.502;6.88;7.574;P;F
61;0.0959;51.315;0.12998;3.407;3.776;4.007;4.135;4.338;4.481;4.699;5.132;5.6;5.866;6.054;6.341;6.534;6.913;7.61;P;F
62;0.0938;5.158;0.12982;3.427;3.797;4.029;4.157;4.362;4.505;4.724;5.158;5.628;5.896;6.084;6.372;6.566;6.947;7.647;P;F
63;0.0918;51.842;0.12966;3.447;3.818;4.051;4.18;4.385;4.529;4.748;5.184;5.656;5.925;6.114;6.403;6.598;6.981;7.684;P;F
64;0.0897;52.102;0.1295;3.466;3.839;4.073;4.202;4.408;4.552;4.773;5.21;5.684;5.954;6.143;6.434;6.63;7.014;7.72;P;F
65;0.0877;5.236;0.12934;3.486;3.86;4.095;4.224;4.431;4.575;4.797;5.236;5.711;5.982;6.173;6.465;6.661;7.047;7.756;P;F
66;0.0857;52.616;0.12919;3.505;3.88;4.116;4.246;4.453;4.599;4.821;5.262;5.739;6.011;6.202;6.495;6.692;7.079;7.791;P;F
67;0.0838;5.287;0.12904;3.524;3.901;4.137;4.268;4.476;4.622;4.845;5.287;5.766;6.039;6.231;6.525;6.723;7.112;7.826;P;F
68;0.0818;53.121;0.12889;3.543;3.921;4.158;4.289;4.498;4.644;4.868;5.312;5.793;6.067;6.259;6.555;6.753;7.144;7.861;P;F
69;0.0798;5.337;0.12875;3.562;3.941;4.179;4.311;4.52;4.667;4.892;5.337;5.819;6.095;6.288;6.584;6.784;7.175;7.896;P;F
70;0.0779;53.618;0.12861;3.581;3.961;4.2;4.332;4.542;4.689;4.915;5.362;5.846;6.122;6.316;6.614;6.814;7.207;7.93;P;F
71;0.076;53.863;0.12847;3.599;3.981;4.221;4.353;4.564;4.712;4.938;5.386;5.872;6.149;6.344;6.643;6.843;7.238;7.964;P;F
72;0.0741;54.107;0.12834;3.618;4.001;4.241;4.374;4.585;4.734;4.961;5.411;5.898;6.176;6.372;6.672;6.873;7.269;7.999;P;F
73;0.0722;54.348;0.12821;3.636;4.02;4.261;4.394;4.607;4.755;4.983;5.435;5.924;6.203;6.399;6.7;6.903;7.3;8.032;P;F
74;0.0704;54.587;0.12808;3.654;4.039;4.281;4.415;4.628;4.777;5.006;5.459;5.95;6.23;6.426;6.728;6.932;7.331;8.065;P;F
75;0.0685;54.825;0.12795;3.672;4.059;4.301;4.435;4.649;4.799;5.028;5.483;5.975;6.256;6.453;6.757;6.96;7.361;8.099;P;F
76;0.0667;55.061;0.12783;3.69;4.078;4.321;4.455;4.67;4.82;5.05;5.506;6;6.282;6.48;6.785;6.989;7.391;8.132;P;F
77;0.0648;55.295;0.1277;3.707;4.096;4.341;4.475;4.691;4.841;5.072;5.53;6.025;6.308;6.507;6.812;7.018;7.421;8.164;P;F
78;0.063;55.527;0.12758;3.725;4.115;4.36;4.495;4.711;4.862;5.094;5.553;6.05;6.334;6.534;6.84;7.046;7.451;8.197;P;F
79;0.0612;55.757;0.12747;3.742;4.134;4.379;4.515;4.731;4.883;5.115;5.576;6.075;6.36;6.56;6.867;7.074;7.48;8.229;P;F
80;0.0595;55.986;0.12735;3.76;4.152;4.399;4.535;4.752;4.904;5.137;5.599;6.099;6.385;6.586;6.894;7.102;7.51;8.261;P;F
81;0.0577;56.213;0.12724;3.777;4.17;4.418;4.554;4.772;4.924;5.158;5.621;6.124;6.411;6.612;6.921;7.129;7.539;8.293;P;F
82;0.0559;56.438;0.12713;3.794;4.188;4.436;4.573;4.792;4.945;5.179;5.644;6.148;6.436;6.638;6.948;7.157;7.568;8.324;P;F
83;0.0542;56.662;0.12702;3.811;4.207;4.455;4.592;4.812;4.965;5.2;5.666;6.172;6.46;6.663;6.975;7.184;7.596;8.356;P;F
84;0.0525;56.883;0.12691;3.827;4.224;4.474;4.611;4.831;4.985;5.221;5.688;6.195;6.485;6.688;7.001;7.211;7.625;8.386;P;F
85;0.0508;57.104;0.12681;3.844;4.242;4.492;4.63;4.851;5.005;5.241;5.71;6.219;6.51;6.714;7.027;7.238;7.653;8.417;P;F
86;0.049;57.322;0.12671;3.86;4.26;4.51;4.649;4.87;5.025;5.262;5.732;6.243;6.534;6.739;7.053;7.265;7.681;8.448;P;F
87;0.0474;57.539;0.1266;3.877;4.277;4.529;4.667;4.889;5.044;5.282;5.754;6.266;6.558;6.763;7.079;7.291;7.709;8.478;P;F
88;0.0457;57.755;0.12651;3.893;4.294;4.547;4.686;4.908;5.064;5.302;5.776;6.289;6.582;6.788;7.105;7.318;7.737;8.509;P;F
89;0.044;57.969;0.12641;3.909;4.312;4.565;4.704;4.927;5.083;5.322;5.797;6.312;6.606;6.812;7.13;7.344;7.764;8.539;P;F
90;0.0424;58.181;0.12631;3.925;4.329;4.582;4.722;4.946;5.102;5.342;5.818;6.335;6.629;6.837;7.155;7.369;7.791;8.569;P;F
91;0.0407;58.393;0.12622;3.941;4.346;4.6;4.74;4.965;5.121;5.362;5.839;6.357;6.653;6.861;7.18;7.395;7.819;8.599;P;F
92;0.0391;58.602;0.12613;3.957;4.363;4.617;4.758;4.983;5.14;5.382;5.86;6.38;6.676;6.885;7.205;7.421;7.845;8.628;P;F
93;0.0375;5.881;0.12604;3.972;4.379;4.635;4.776;5.001;5.159;5.401;5.881;6.402;6.7;6.909;7.23;7.446;7.872;8.657;P;F
94;0.0358;59.017;0.12595;3.988;4.396;4.652;4.794;5.02;5.178;5.42;5.902;6.424;6.723;6.932;7.255;7.472;7.899;8.686;P;F
95;0.0342;59.223;0.12586;4.004;4.413;4.669;4.811;5.038;5.197;5.44;5.922;6.446;6.746;6.956;7.279;7.497;7.925;8.715;P;F
96;0.0327;59.427;0.12577;4.019;4.429;4.687;4.829;5.056;5.215;5.459;5.943;6.468;6.768;6.979;7.303;7.522;7.951;8.744;P;F
97;0.0311;59.629;0.12569;4.034;4.445;4.703;4.846;5.074;5.233;5.478;5.963;6.49;6.791;7.002;7.328;7.547;7.978;8.773;P;F
98;0.0295;59.831;0.12561;4.049;4.461;4.72;4.863;5.092;5.251;5.496;5.983;6.511;6.813;7.025;7.352;7.571;8.004;8.801;P;F
99;0.0279;60.031;0.12553;4.064;4.477;4.737;4.88;5.109;5.27;5.515;6.003;6.533;6.836;7.048;7.375;7.596;8.029;8.83;P;F
100;0.0264;60.229;0.12545;4.079;4.493;4.754;4.897;5.127;5.287;5.534;6.023;6.554;6.858;7.071;7.399;7.62;8.055;8.858;P;F
101;0.0249;60.426;0.12537;4.094;4.509;4.77;4.914;5.144;5.305;5.552;6.043;6.575;6.88;7.094;7.423;7.644;8.08;8.885;P;F
102;0.0233;60.622;0.12529;4.109;4.525;4.786;4.931;5.161;5.323;5.57;6.062;6.596;6.901;7.116;7.446;7.668;8.106;8.913;P;F
103;0.0218;60.817;0.12522;4.123;4.541;4.803;4.947;5.179;5.34;5.589;6.082;6.617;6.923;7.138;7.469;7.692;8.131;8.941;P;F
104;0.0203;6.101;0.12514;4.138;4.556;4.819;4.964;5.196;5.358;5.607;6.101;6.638;6.945;7.16;7.492;7.716;8.156;8.968;P;F
105;0.0188;61.202;0.12507;4.152;4.571;4.835;4.98;5.213;5.375;5.625;6.12;6.658;6.966;7.182;7.515;7.739;8.181;8.995;P;F
106;0.0173;61.393;0.125;4.167;4.587;4.851;4.996;5.229;5.393;5.643;6.139;6.679;6.987;7.204;7.538;7.763;8.205;9.022;P;F
107;0.0158;61.582;0.12493;4.181;4.602;4.867;5.013;5.246;5.41;5.66;6.158;6.699;7.009;7.226;7.561;7.786;8.23;9.049;P;F
108;0.0144;61.771;0.12486;4.195;4.617;4.882;5.029;5.263;5.427;5.678;6.177;6.72;7.03;7.248;7.583;7.809;8.254;9.076;P;F
109;0.0129;61.958;0.12479;4.209;4.632;4.898;5.045;5.279;5.444;5.695;6.196;6.74;7.051;7.269;7.605;7.832;8.278;9.102;P;F
110;0.0114;62.143;0.12472;4.223;4.647;4.913;5.061;5.296;5.46;5.713;6.214;6.759;7.071;7.29;7.627;7.855;8.302;9.129;P;F
111;0.01;62.328;0.12466;4.237;4.662;4.929;5.076;5.312;5.477;5.73;6.233;6.779;7.092;7.312;7.65;7.878;8.326;9.155;P;F
112;0.0086;62.511;0.12459;4.251;4.677;4.944;5.092;5.328;5.493;5.747;6.251;6.799;7.112;7.332;7.671;7.9;8.35;9.181;P;F
113;0.0071;62.693;0.12453;4.264;4.691;4.959;5.107;5.344;5.51;5.764;6.269;6.818;7.133;7.353;7.693;7.922;8.373;9.207;P;F
114;0.0057;62.874;0.12447;4.278;4.706;4.974;5.123;5.36;5.526;5.781;6.287;6.838;7.153;7.374;7.715;7.945;8.397;9.233;P;F
115;0.0043;63.054;0.12441;4.291;4.72;4.989;5.138;5.376;5.542;5.798;6.305;6.857;7.173;7.395;7.737;7.967;8.42;9.259;P;F
116;0.0029;63.232;0.12435;4.305;4.734;5.004;5.153;5.392;5.558;5.814;6.323;6.876;7.193;7.415;7.758;7.989;8.443;9.284;P;F
117;0.0015;6.341;0.12429;4.318;4.749;5.019;5.168;5.407;5.575;5.831;6.341;6.895;7.213;7.436;7.779;8.011;8.466;9.309;P;F
118;0.0001;63.586;0.12423;4.331;4.763;5.034;5.183;5.423;5.59;5.848;6.359;6.914;7.232;7.456;7.8;8.032;8.489;9.334;P;F
119;-0.0013;63.761;0.12417;4.345;4.777;5.048;5.198;5.438;5.606;5.864;6.376;6.933;7.252;7.476;7.821;8.054;8.512;9.359;P;F
120;-0.0026;63.935;0.12412;4.358;4.791;5.063;5.213;5.453;5.622;5.88;6.394;6.952;7.271;7.496;7.842;8.075;8.535;9.384;P;F
121;-0.004;64.108;0.12406;4.371;4.804;5.077;5.228;5.469;5.637;5.896;6.411;6.97;7.291;7.516;7.863;8.096;8.557;9.409;P;F
122;-0.0053;6.428;0.12401;4.383;4.818;5.091;5.242;5.484;5.653;5.912;6.428;6.989;7.31;7.536;7.883;8.118;8.579;9.434;P;F
123;-0.0067;6.445;0.12395;4.396;4.832;5.106;5.257;5.499;5.668;5.928;6.445;7.007;7.329;7.555;7.904;8.139;8.601;9.458;P;F
124;-0.008;6.462;0.1239;4.409;4.845;5.12;5.271;5.514;5.684;5.944;6.462;7.025;7.348;7.575;7.924;8.16;8.624;9.482;P;F
125;-0.0094;64.788;0.12385;4.422;4.859;5.134;5.286;5.529;5.699;5.96;6.479;7.043;7.367;7.594;7.944;8.18;8.646;9.506;P;F
126;-0.0107;64.956;0.1238;4.434;4.872;5.148;5.3;5.543;5.714;5.975;6.496;7.062;7.386;7.613;7.964;8.201;8.667;9.53;P;F
127;-0.012;65.122;0.12375;4.447;4.886;5.162;5.314;5.558;5.729;5.991;6.512;7.079;7.404;7.633;7.984;8.221;8.689;9.554;P;F
128;-0.0133;65.288;0.1237;4.459;4.899;5.175;5.328;5.573;5.744;6.006;6.529;7.097;7.423;7.652;8.004;8.242;8.711;9.578;P;F
129;-0.0146;65.452;0.12365;4.471;4.912;5.189;5.342;5.587;5.759;6.022;6.545;7.115;7.441;7.67;8.024;8.262;8.732;9.601;P;F
130;-0.0159;65.615;0.1236;4.484;4.925;5.203;5.356;5.601;5.773;6.037;6.562;7.132;7.459;7.689;8.043;8.282;8.753;9.625;P;F
131;-0.0172;65.777;0.12355;4.496;4.938;5.216;5.37;5.616;5.788;6.052;6.578;7.15;7.477;7.708;8.063;8.302;8.774;9.648;P;F
132;-0.0185;65.939;0.12351;4.508;4.951;5.23;5.384;5.63;5.802;6.067;6.594;7.167;7.496;7.727;8.082;8.322;8.795;9.671;P;F
133;-0.0198;66.099;0.12346;4.52;4.964;5.243;5.397;5.644;5.817;6.082;6.61;7.184;7.513;7.745;8.102;8.342;8.816;9.694;P;F
134;-0.021;66.258;0.12342;4.532;4.976;5.256;5.411;5.658;5.831;6.097;6.626;7.202;7.531;7.763;8.121;8.362;8.837;9.717;P;F
135;-0.0223;66.416;0.12337;4.544;4.989;5.269;5.424;5.672;5.845;6.112;6.642;7.218;7.549;7.781;8.14;8.381;8.858;9.74;P;F
136;-0.0235;66.573;0.12333;4.555;5.002;5.282;5.438;5.686;5.86;6.126;6.657;7.235;7.566;7.8;8.158;8.401;8.878;9.763;P;F
137;-0.0248;66.729;0.12329;4.567;5.014;5.295;5.451;5.699;5.874;6.141;6.673;7.252;7.584;7.818;8.177;8.42;8.899;9.785;P;F
138;-0.026;66.884;0.12325;4.579;5.026;5.308;5.464;5.713;5.888;6.155;6.688;7.269;7.601;7.835;8.196;8.439;8.919;9.807;P;F
139;-0.0273;67.039;0.12321;4.59;5.039;5.321;5.477;5.727;5.902;6.17;6.704;7.286;7.619;7.853;8.215;8.458;8.939;9.83;P;F
140;-0.0285;67.192;0.12317;4.602;5.051;5.334;5.49;5.74;5.915;6.184;6.719;7.302;7.636;7.871;8.233;8.477;8.959;9.852;P;F
141;-0.0297;67.344;0.12313;4.613;5.063;5.346;5.503;5.753;5.929;6.198;6.734;7.318;7.653;7.888;8.251;8.496;8.979;9.874;P;F
142;-0.0309;67.495;0.12309;4.624;5.075;5.359;5.516;5.767;5.943;6.212;6.75;7.335;7.67;7.906;8.269;8.515;8.999;9.896;P;F
143;-0.0321;67.646;0.12305;4.636;5.087;5.372;5.529;5.78;5.956;6.227;6.765;7.351;7.687;7.923;8.288;8.533;9.019;9.917;P;F
144;-0.0333;67.795;0.12301;4.647;5.099;5.384;5.541;5.793;5.97;6.24;6.78;7.367;7.703;7.94;8.306;8.552;9.038;9.939;P;F
145;-0.0345;67.944;0.12298;4.658;5.111;5.396;5.554;5.806;5.983;6.254;6.794;7.383;7.72;7.958;8.324;8.571;9.058;9.961;P;F
146;-0.0357;68.091;0.12294;4.669;5.123;5.409;5.567;5.819;5.996;6.268;6.809;7.399;7.737;7.975;8.341;8.589;9.077;9.982;P;F
147;-0.0369;68.238;0.12291;4.68;5.135;5.421;5.579;5.832;6.009;6.282;6.824;7.415;7.753;7.992;8.359;8.607;9.096;10.003;P;F
148;-0.0381;68.384;0.12287;4.691;5.146;5.433;5.591;5.845;6.023;6.295;6.838;7.43;7.77;8.008;8.377;8.625;9.115;10.024;P;F
149;-0.0393;68.529;0.12284;4.701;5.158;5.445;5.604;5.858;6.036;6.309;6.853;7.446;7.786;8.025;8.394;8.643;9.134;10.046;P;F
150;-0.0404;68.673;0.12281;4.712;5.169;5.457;5.616;5.87;6.049;6.322;6.867;7.461;7.802;8.042;8.412;8.661;9.153;10.067;P;F
151;-0.0416;68.816;0.12277;4.723;5.181;5.469;5.628;5.883;6.061;6.336;6.882;7.477;7.818;8.058;8.429;8.679;9.172;10.087;P;F
152;-0.0428;68.959;0.12274;4.734;5.192;5.481;5.64;5.895;6.074;6.349;6.896;7.492;7.834;8.075;8.446;8.697;9.191;10.108;P;F
153;-0.0439;6.91;0.12271;4.744;5.203;5.492;5.652;5.908;6.087;6.362;6.91;7.507;7.85;8.091;8.463;8.714;9.21;10.129;P;F
154;-0.045;69.241;0.12268;4.755;5.214;5.504;5.664;5.92;6.1;6.375;6.924;7.523;7.866;8.107;8.48;8.732;9.228;10.149;P;F
155;-0.0462;69.381;0.12265;4.765;5.226;5.516;5.676;5.932;6.112;6.388;6.938;7.538;7.882;8.124;8.497;8.749;9.247;10.17;P;F
156;-0.0473;6.952;0.12262;4.775;5.237;5.527;5.688;5.945;6.125;6.401;6.952;7.553;7.897;8.14;8.514;8.766;9.265;10.19;P;F
157;-0.0484;69.659;0.12259;4.786;5.248;5.539;5.699;5.957;6.137;6.414;6.966;7.568;7.913;8.156;8.531;8.784;9.283;10.21;P;F
158;-0.0496;69.797;0.12256;4.796;5.259;5.55;5.711;5.969;6.15;6.427;6.98;7.582;7.928;8.172;8.547;8.801;9.301;10.23;P;F
159;-0.0507;69.934;0.12254;4.806;5.27;5.561;5.723;5.981;6.162;6.44;6.993;7.597;7.944;8.188;8.564;8.818;9.32;10.25;P;F
160;-0.0518;7.007;0.12251;4.816;5.28;5.573;5.734;5.993;6.174;6.452;7.007;7.612;7.959;8.203;8.58;8.835;9.337;10.27;P;F
161;-0.0529;70.205;0.12248;4.826;5.291;5.584;5.746;6.005;6.186;6.465;7.021;7.626;7.974;8.219;8.597;8.852;9.355;10.29;P;F
162;-0.054;7.034;0.12246;4.836;5.302;5.595;5.757;6.016;6.198;6.478;7.034;7.641;7.989;8.235;8.613;8.869;9.373;10.31;P;F
163;-0.0551;70.474;0.12243;4.846;5.312;5.606;5.768;6.028;6.21;6.49;7.047;7.656;8.004;8.25;8.629;8.885;9.391;10.329;P;F
164;-0.0562;70.607;0.12241;4.856;5.323;5.617;5.78;6.04;6.222;6.502;7.061;7.67;8.019;8.266;8.645;8.902;9.409;10.349;P;F
165;-0.0573;7.074;0.12238;4.866;5.334;5.628;5.791;6.051;6.234;6.515;7.074;7.684;8.034;8.281;8.662;8.919;9.426;10.368;P;F
166;-0.0583;70.872;0.12236;4.876;5.344;5.639;5.802;6.063;6.246;6.527;7.087;7.698;8.049;8.296;8.678;8.935;9.444;10.388;P;F
167;-0.0594;71.003;0.12234;4.885;5.354;5.65;5.813;6.074;6.258;6.539;7.1;7.713;8.064;8.312;8.694;8.951;9.461;10.407;P;F
168;-0.0605;71.133;0.12231;4.895;5.365;5.661;5.824;6.086;6.269;6.551;7.113;7.727;8.079;8.327;8.709;8.968;9.478;10.426;P;F
169;-0.0615;71.263;0.12229;4.905;5.375;5.671;5.835;6.097;6.281;6.563;7.126;7.741;8.093;8.342;8.725;8.984;9.495;10.445;P;F
170;-0.0626;71.393;0.12227;4.914;5.385;5.682;5.846;6.109;6.293;6.576;7.139;7.755;8.108;8.357;8.741;9;9.513;10.465;P;F
